date,open,high,low,close
2021-11-04,52.0,52.1,51.28,51.75
2021-11-03,52.35,52.49,51.67,51.7
2021-11-02,54.35,54.49,51.67,52.25
2021-11-01,54.0,54.9,53.3,54.12
2021-10-29,54.22,54.75,53.7,53.97
2021-10-28,54.3,55.0,53.85,54.22
2021-10-27,55.2,55.2,53.83,54.52
2021-10-26,54.59,56.23,54.3,55.3
2021-10-25,53.83,54.93,53.1,54.59
2021-10-22,54.09,54.8,53.73,54.29
2021-10-21,52.85,54.0,52.6,53.75
2021-10-20,53.21,53.64,52.28,52.4
2021-10-19,52.25,53.32,52.0,52.88
2021-10-18,53.31,53.35,51.55,51.86
2021-10-15,52.45,53.44,52.35,53.31
2021-10-14,52.99,53.25,52.2,52.36
2021-10-13,52.95,53.4,52.05,53.03
2021-10-12,52.7,53.79,52.3,53.09
2021-10-11,51.44,54.18,51.44,53.0
2021-10-08,50.02,51.08,50.02,50.93
2021-09-30,51.4,51.43,50.1,50.45
2021-09-29,49.95,52.17,49.61,51.56
2021-09-28,49.1,50.98,49.09,50.42
2021-09-27,48.29,49.8,48.21,49.09
2021-09-24,48.45,49.33,48.4,48.77
2021-09-23,49.5,50.53,48.61,48.84
2021-09-22,48.68,49.98,48.1,49.41
2021-09-17,50.78,51.54,50.5,51.25
2021-09-16,51.23,51.83,50.21,50.7
2021-09-15,52.0,52.49,50.8,51.4
2021-09-14,54.3,54.89,51.8,52.1
2021-09-13,53.67,54.5,53.5,53.92
2021-09-10,52.0,54.52,51.75,54.12
2021-09-09,52.1,52.68,51.68,52.1
2021-09-08,52.72,53.55,52.26,52.41
2021-09-07,51.29,53.08,50.45,52.81
2021-09-06,51.51,52.75,51.18,51.2
2021-09-03,51.7,52.33,50.41,52.0
2021-09-02,50.69,51.88,50.3,51.6
2021-09-01,48.88,50.95,48.6,50.79
2021-08-31,48.45,49.45,47.85,48.96
2021-08-30,50.35,50.35,47.61,48.45
2021-08-27,49.7,50.82,49.5,50.35
2021-08-26,51.93,51.93,49.48,49.6
2021-08-25,52.58,52.71,51.21,51.43
2021-08-24,52.02,52.85,51.01,52.2
2021-08-23,51.48,52.87,51.21,51.89
2021-08-20,51.74,52.57,49.9,51.03
2021-08-19,52.8,53.1,51.36,51.58
2021-08-18,49.99,53.57,49.92,53.14
2021-08-17,50.87,51.4,49.52,49.62
2021-08-16,51.2,51.24,49.5,50.87
2021-08-13,50.71,51.35,50.31,51.18
2021-08-12,50.7,51.5,50.41,50.68
2021-08-11,50.21,51.77,50.0,50.9
2021-08-10,49.08,50.53,48.56,50.21
2021-08-09,47.58,50.0,47.58,49.06
2021-08-06,46.47,47.8,46.1,47.59
2021-08-05,46.68,47.3,46.09,46.75
2021-08-04,47.58,47.95,46.8,47.0
2021-08-03,47.6,48.1,46.95,47.59
2021-08-02,46.8,48.22,45.21,47.71
2021-07-30,47.75,47.8,46.11,46.5
2021-07-29,48.2,48.3,47.5,47.95
