date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2019-01-02,600036.SH,25.15,25.2,24.4,24.57,25.2,-0.63,-2.5,555166.12,1368988.405
2019-01-03,600036.SH,24.4,25.05,24.38,24.88,24.57,0.31,1.2617,374107.58,929035.565
2019-01-04,600036.SH,24.76,25.65,24.65,25.51,24.88,0.63,2.5322,668531.4,1690412.096
2019-01-07,600036.SH,25.51,25.77,25.29,25.52,25.51,0.01,0.0392,456040.29,1162564.002
2019-01-08,600036.SH,25.5,25.52,25.16,25.22,25.52,-0.3,-1.1755,269280.31,680284.501
2019-01-09,600036.SH,25.22,26.1,25.22,25.7,25.22,0.48,1.9033,638200.48,1644588.152
2019-01-10,600036.SH,25.5,26.08,25.47,25.85,25.7,0.15,0.5837,426306.89,1101271.158
2019-01-11,600036.SH,25.85,26.58,25.75,26.46,25.85,0.61,2.3598,493910.33,1299657.728
2019-01-14,600036.SH,26.46,26.56,26.22,26.31,26.46,-0.15,-0.5669,294244.62,776229.254
2019-01-15,600036.SH,26.31,26.83,26.3,26.8,26.31,0.49,1.8624,366718.91,976628.108
2019-01-16,600036.SH,26.7,26.88,26.61,26.85,26.8,0.05,0.1866,229955.24,615072.738
2019-01-17,600036.SH,26.85,26.85,26.43,26.47,26.85,-0.38,-1.4153,323682.14,862634.819
2019-01-18,600036.SH,26.47,27.26,26.46,27.1,26.47,0.63,2.3801,546397.85,1474685.187
2019-01-21,600036.SH,27.08,27.7,27.03,27.33,27.1,0.23,0.8487,415588.08,1136772.654
2019-01-22,600036.SH,27.3,27.45,26.76,26.98,27.33,-0.35,-1.2806,349072.41,942772.504
2019-01-23,600036.SH,26.95,27.42,26.92,27.16,26.98,0.18,0.6672,273250.47,742831.971
2019-01-24,600036.SH,27.18,28.04,27.18,27.87,27.16,0.71,2.6141,543409.53,1507548.458
2019-01-25,600036.SH,27.87,28.63,27.85,28.52,27.87,0.65,2.3323,536481.7,1525048.705
2019-01-28,600036.SH,28.52,29.14,28.5,28.66,28.52,0.14,0.4909,577365.88,1665507.65
2019-01-29,600036.SH,28.56,28.83,28.47,28.64,28.66,-0.02,-0.0698,346628.58,993511.466
2019-01-30,600036.SH,28.6,28.79,28.32,28.42,28.64,-0.22,-0.7682,266892.04,761698.908
2019-01-31,600036.SH,28.45,29.29,28.45,29.21,28.42,0.79,2.7797,571420.36,1657359.517
2019-02-01,600036.SH,29.21,29.43,28.88,29.3,29.21,0.09,0.3081,396521.6,1156418.914
2019-02-11,600036.SH,29.1,29.53,28.9,29.39,29.3,0.09,0.3072,353635.99,1034587.928
2019-02-12,600036.SH,29.39,29.58,28.98,29.32,29.39,-0.07,-0.2382,395827.11,1157190.462
2019-02-13,600036.SH,29.32,30.04,29.12,29.84,29.32,0.52,1.7735,535775.89,1579966.914
2019-02-14,600036.SH,29.65,30.1,29.49,29.86,29.84,0.02,0.067,452386.56,1349953.528
2019-02-15,600036.SH,29.74,29.85,28.91,29.15,29.86,-0.71,-2.3778,495666.59,1450557.701
2019-02-18,600036.SH,29.35,29.99,29.35,29.87,29.15,0.72,2.47,446645.84,1330843.104
2019-02-19,600036.SH,29.86,30.63,29.72,29.88,29.87,0.01,0.0335,493676.44,1483350.105
2019-02-20,600036.SH,30.27,30.44,29.98,30.15,29.88,0.27,0.9036,334340.29,1010101.525
2019-02-21,600036.SH,30.18,30.64,29.84,30.08,30.15,-0.07,-0.2322,453139.76,1367327.564
2019-02-22,600036.SH,30.07,30.64,29.8,30.63,30.08,0.55,1.8285,414875.07,1252498.181
2019-02-25,600036.SH,31.0,32.9,30.97,32.52,30.63,1.89,6.1704,1101846.76,3503029.739
2019-02-26,600036.SH,32.29,33.0,31.32,31.49,32.52,-1.03,-3.1673,948562.86,3028023.006
2019-02-27,600036.SH,31.7,32.32,31.4,31.71,31.49,0.22,0.6986,808342.44,2568322.892
2019-02-28,600036.SH,31.7,32.1,31.45,31.74,31.71,0.03,0.0946,487643.47,1547972.358
2019-03-01,600036.SH,32.05,32.93,31.65,32.9,31.74,1.16,3.6547,682670.71,2200500.068
2019-03-04,600036.SH,33.0,33.79,32.5,32.69,32.9,-0.21,-0.6383,956461.15,3151361.469
2019-03-05,600036.SH,32.86,32.86,32.1,32.35,32.69,-0.34,-1.0401,673803.67,2188597.546
2019-03-06,600036.SH,32.31,32.61,31.78,32.22,32.35,-0.13,-0.4019,546736.3,1758476.276
2019-03-07,600036.SH,32.01,32.1,30.97,31.3,32.22,-0.92,-2.8554,707727.28,2227173.172
2019-03-08,600036.SH,30.74,31.21,30.36,30.78,31.3,-0.52,-1.6613,770066.01,2368272.351
2019-03-11,600036.SH,30.57,30.83,30.18,30.53,30.78,-0.25,-0.8122,675309.95,2056842.749
2019-03-12,600036.SH,30.91,31.33,30.45,30.66,30.53,0.13,0.4258,838697.24,2593572.147
2019-03-13,600036.SH,30.79,31.32,30.25,31.04,30.66,0.38,1.2394,666611.44,2057062.461
2019-03-14,600036.SH,30.98,31.9,30.9,31.45,31.04,0.41,1.3209,684942.4,2162754.036
2019-03-15,600036.SH,31.42,31.95,31.2,31.67,31.45,0.22,0.6995,595942.69,1888156.823
2019-03-18,600036.SH,31.79,32.56,31.59,32.36,31.67,0.69,2.1787,593130.92,1902942.879
2019-03-19,600036.SH,32.4,32.62,31.93,32.03,32.36,-0.33,-1.0198,486750.5,1565782.395
2019-03-20,600036.SH,31.88,32.47,31.7,32.27,32.03,0.24,0.7493,465379.13,1492217.313
2019-03-21,600036.SH,32.13,32.4,31.92,31.98,32.27,-0.29,-0.8987,386223.72,1240270.281
2019-03-22,600036.SH,32.08,32.38,31.71,32.35,31.98,0.37,1.157,430268.48,1380682.468
2019-03-25,600036.SH,32.0,32.1,31.1,31.17,32.35,-1.18,-3.6476,639210.55,2018228.647
2019-03-26,600036.SH,31.59,31.65,31.21,31.49,31.17,0.32,1.0266,403361.9,1268771.627
2019-03-27,600036.SH,31.69,32.54,31.45,32.4,31.49,0.91,2.8898,594154.47,1915279.543
2019-03-28,600036.SH,32.17,32.65,31.95,32.52,32.4,0.12,0.3704,387422.55,1251752.176
2019-03-29,600036.SH,32.52,34.32,32.41,33.92,32.52,1.4,4.305,1164152.21,3924014.336
2019-04-01,600036.SH,34.2,35.05,33.9,34.08,33.92,0.16,0.4717,1046396.18,3595503.205
2019-04-02,600036.SH,34.1,34.59,34.09,34.49,34.08,0.41,1.2031,694286.66,2385380.774
2019-04-03,600036.SH,34.4,34.95,34.31,34.86,34.49,0.37,1.0728,581606.43,2016043.612
